Time,Pair,Side,Price,Amount,Volume,Progress,Status
11/18/19 10:01,ATT/TRX,SELL,0.00011,9522580.8 ATT,"1,047.4839 TRX",100.00%,Completed
11/18/19 10:01,ATT/TRX,SELL,0.00012,4000000.0 ATT,480.0000 TRX,100.00%,Completed
11/17/19 20:03,ATT/TRX,BUY,0.00016,290000.0 ATT,46.4000 TRX,100.00%,Completed
11/17/19 14:03,ATT/TRX,BUY,0.00018,11525000.0 ATT,"2,074.5000 TRX",100.00%,Completed
11/17/19 14:01,ATT/TRX,BUY,0.0002,147616.0 ATT,29.5232 TRX,100.00%,Completed
11/17/19 13:45,SEED/TRX,SELL,1.246,1463.0 SEED,"1,824.2147 TRX",100.00%,Completed
4/12/19 9:33,BTT/TRX,BUY,0.0278,15000.0 BTT,416.9170 TRX,100.00%,Completed
4/8/19 13:42,BTT/TRX,BUY,0.0265,16000.0 BTT,423.9840 TRX,100.00%,Completed
4/8/19 13:40,SEED/TRX,SELL,3.25,264.0 SEED,858.0000 TRX,100.00%,Completed
4/8/19 13:27,BTT/TRX,BUY,0.027,40777.0 BTT,"1,100.9790 TRX",100.00%,Completed
4/8/19 13:18,BTT/TRX,BUY,0.027,150000.0 BTT,"4,049.9919 TRX",100.00%,Completed
4/8/19 12:05,SEED/TRX,SELL,3.25,33.0 SEED,107.2500 TRX,100.00%,Completed
3/22/19 9:47,BTT/TRX,BUY,0.0353,5665.0 BTT,199.9745 TRX,100.00%,Completed
3/22/19 9:33,BTT/TRX,BUY,0.0353,3769433.0 BTT,"132,860.9849 TRX",100.00%,Completed
3/22/19 9:29,BTT/TRX,BUY,0.03538,419708.0 BTT,"14,851.3676 TRX",100.00%,Completed
3/22/19 9:28,BTT/TRX,BUY,0.03527,419708.0 BTT,"14,802.6815 TRX",100.00%,Completed
3/22/19 9:25,BTT/TRX,BUY,0.03525,897301.0 BTT,"31,633.4495 TRX",100.00%,Completed
3/22/19 9:23,BTT/TRX,BUY,0.0351,160909.8 BTT,"5,647.9347 TRX",100.00%,Completed
3/21/19 13:10,BTT/TRX,BUY,0.0353,848441.0 BTT,"29,949.9673 TRX",100.00%,Completed
3/21/19 10:13,BTT/TRX,BUY,0.036,192291.0 BTT,"6,906.1468 TRX",100.00%,Completed
3/21/19 9:27,DICE/TRX,SELL,0.01052,650000000000.0 DICE,"6,839.3000 TRX",100.00%,Completed
3/19/19 10:40,BTT/TRX,BUY,0.0358,3491.0 BTT,124.9778 TRX,100.00%,Completed
3/19/19 10:14,DICE/TRX,SELL,0.0112,334875000000.0 DICE,"3,750.6000 TRX",100.00%,Completed
3/19/19 9:23,BTT/TRX,BUY,0.036,2798666.0 BTT,"100,751.9760 TRX",100.00%,Completed
3/6/19 17:09,IGG/TRX,BUY,0.01,15100.0 IGG,151.0000 TRX,100.00%,Completed
3/4/19 10:12,IGG/TRX,BUY,0.0105,11200.0 IGG,117.6000 TRX,100.00%,Completed
3/4/19 9:48,IGG/TRX,BUY,0.0106,152641.0 IGG,"1,602.7305 TRX",100.00%,Completed
2/12/19 9:26,IGG/TRX,BUY,0.011,17184.0 IGG,0.0000 TRX,0.00%,Completed
2/11/19 10:15,IGG/TRX,BUY,0.01,114565.0 IGG,"1,145.7478 TRX",100.00%,Completed
2/9/19 10:47,IGG/TRX,BUY,0.01078,44000.0 IGG,474.5400 TRX,100.00%,Completed
2/4/19 16:53,DICE/TRX,BUY,0.0061,220000000000.0 DICE,"1,341.7800 TRX",100.00%,Completed
2/4/19 16:37,DICE/TRX,BUY,0.0061,64000000000.0 DICE,390.3360 TRX,100.00%,Completed
2/4/19 16:22,REY/TRX,SELL,0.00103,329594000000.0 REY,337.8338 TRX,100.00%,Completed
1/31/19 18:06,DICE/TRX,BUY,0.00617,8000000000.0 DICE,49.3280 TRX,100.00%,Completed
1/31/19 18:05,DICE/TRX,BUY,0.00617,425000000000.0 DICE,"2,620.5500 TRX",100.00%,Completed
